ID_SCHOOL,TREATED,ID_STUDENT,FEMALE,AGE,LANGUAGE_SCORE_STD
52001,1,52001000001,0,11,-1.099
52001,1,52001000002,0,11,0.896
52001,1,52001000003,1,11,-1.612
52001,1,52001000004,0,11,0.181
52001,1,52001000005,1,10,-0.43
52001,1,52001000006,1,10,-0.931
52001,1,52001000007,1,11,0.525
52001,1,52001000008,1,11,-0.698
52001,1,52001000009,0,10,-0.734
52001,1,52001000010,0,11,-0.395
52001,1,52001000011,1,12,0.29
52001,1,52001000012,1,10,2.349
52001,1,52001000013,1,12,0.809
52001,1,52001000014,1,11,-0.754
52001,1,52001000015,0,10,-0.385
52001,1,52001000016,1,11,-0.113
52001,1,52001000017,1,11,-0.472
52001,1,52001000018,1,10,-0.683
52001,1,52001000019,0,11,0.566
52001,1,52001000020,0,12,-1.913
52001,1,52001000021,0,11,-1.313
52001,1,52001000022,1,11,-0.662
52001,1,52001000023,0,11,-0.274
52001,1,52001000024,0,11,-0.146
52001,1,52001000025,0,11,1.105
52001,1,52001000026,1,11,-0.415
52001,1,52001000027,1,11,0.57
52001,1,52001000028,1,11,0.039
52001,1,52001000029,1,11,-0.095
52001,1,52001000030,1,11,0.596
52001,1,52001000031,1,11,0.278
52001,1,52001000032,1,12,1.109
52001,1,52001000033,0,11,-0.301
52001,1,52001000034,0,12,0.256
52001,1,52001000035,0,11,0.049
52001,1,52001000036,0,11,-0.295
52001,1,52001000037,0,11,0.373
52001,1,52001000038,0,11,0.179
52001,1,52001000039,0,12,2.849
52001,1,52001000040,1,11,-0.17
52001,1,52001000041,1,11,-1.503
52001,1,52001000042,1,11,-1.455
52001,1,52001000043,1,12,-1.946
52001,1,52001000044,0,10,-0.733
52001,1,52001000045,0,11,-0.701
52001,1,52001000046,0,11,-0.992
52001,1,52001000047,1,12,-0.499
52001,1,52001000048,0,11,-0.454
52001,1,52001000049,1,10,0.371
52001,1,52001000050,0,12,0.585
52001,1,52001000051,1,12,-0.412
52001,1,52001000052,1,11,0.871
52001,1,52001000053,1,11,0.545
52001,1,52001000054,1,12,-0.646
52002,1,52002000055,1,11,-2.388
52002,1,52002000056,1,12,-0.236
52002,1,52002000057,0,11,2.189
52002,1,52002000058,0,11,-1.17
52002,1,52002000059,0,11,0.533
52002,1,52002000060,0,12,-0.245
52002,1,52002000061,1,11,-0.225
52002,1,52002000062,0,11,1.293
52002,1,52002000063,1,11,0.94
52002,1,52002000064,1,11,-0.835
52002,1,52002000065,0,11,0.371
52002,1,52002000066,0,11,0.753
52002,1,52002000067,0,11,-1.574
52002,1,52002000068,1,11,-1.376
52002,1,52002000069,0,11,1.015
52002,1,52002000070,1,12,-1.531
52002,1,52002000071,1,10,-1.305
52002,1,52002000072,0,11,0.193
52002,1,52002000073,0,11,-0.211
52002,1,52002000074,1,10,0.275
52002,1,52002000075,1,11,-0.998
52002,1,52002000076,0,11,-1.942
52002,1,52002000077,1,11,0.729
52002,1,52002000078,1,11,1.21
52002,1,52002000079,0,12,2.307
52002,1,52002000080,0,11,1.809
52002,1,52002000081,0,11,0.782
52002,1,52002000082,1,12,0.795
52002,1,52002000083,1,11,-0.327
52002,1,52002000084,0,11,-0.051
52002,1,52002000085,1,11,-1.408
52002,1,52002000086,0,11,-0.039
52002,1,52002000087,1,11,0.293
52002,1,52002000088,0,11,0.698
52002,1,52002000089,0,10,0.736
52002,1,52002000090,1,11,1.654
52002,1,52002000091,0,11,-0.919
52002,1,52002000092,1,11,1.162
52003,0,52003000093,0,11,1.785
52003,0,52003000094,1,11,0.54
52003,0,52003000095,1,11,0.11
52003,0,52003000096,1,11,-0.265
52003,0,52003000097,0,11,0.771
