ID_SCHOOL,TREATED,ID_STUDENT,FEMALE,AGE,LANGUAGE_SCORE_STD
42001,1,42001000001,1,12,-0.277
42001,1,42001000002,0,10,-0.987
42001,1,42001000003,1,11,-0.288
42001,1,42001000004,0,11,0.775
42001,1,42001000005,0,11,1.563
42001,1,42001000006,1,11,-0.373
42001,1,42001000007,1,10,-0.866
42001,1,42001000008,0,11,-0.524
42001,1,42001000009,0,11,-1.987
42001,1,42001000010,0,11,0.886
42001,1,42001000011,0,11,-1.035
42001,1,42001000012,0,11,-1.601
42001,1,42001000013,0,11,-1.049
42001,1,42001000014,1,11,1.665
42001,1,42001000015,1,11,-0.474
42001,1,42001000016,0,12,-0.296
42001,1,42001000017,1,11,-1.955
42001,1,42001000018,0,11,-0.745
42001,1,42001000019,1,12,-0.821
42001,1,42001000020,1,11,0.637
42001,1,42001000021,0,11,-1.279
42001,1,42001000022,0,12,-1.445
42001,1,42001000023,1,11,-0.022
42001,1,42001000024,0,11,0.624
42001,1,42001000025,0,11,0.684
42001,1,42001000026,1,11,1.098
42001,1,42001000027,1,11,-0.797
42001,1,42001000028,0,12,-0.693
42001,1,42001000029,1,11,-0.05
42001,1,42001000030,0,12,-1.122
42001,1,42001000031,1,12,-0.457
42001,1,42001000032,0,11,-0.496
42001,1,42001000033,1,11,0.114
42001,1,42001000034,1,11,-0.991
42001,1,42001000035,0,11,-0.307
42001,1,42001000036,0,12,-0.454
42001,1,42001000037,1,11,-3.272
42001,1,42001000038,1,11,0.886
42001,1,42001000039,1,12,2.152
42001,1,42001000040,0,11,0.86
42001,1,42001000041,1,11,-0.421
42001,1,42001000042,0,12,-1.042
42001,1,42001000043,0,11,1.006
42001,1,42001000044,0,11,0.878
42001,1,42001000045,1,11,1.774
42001,1,42001000046,1,11,1.016
42001,1,42001000047,1,12,1.047
42001,1,42001000048,1,11,-0.578
42001,1,42001000049,1,12,-1.282
42002,0,42002000050,1,11,0.051
42002,0,42002000051,1,11,-1.05
42002,0,42002000052,0,10,-1.215
42002,0,42002000053,1,12,1.695
42002,0,42002000054,0,11,-0.984
42002,0,42002000055,1,11,-1.261
42002,0,42002000056,1,11,-0.534
42002,0,42002000057,1,11,-0.762
42002,0,42002000058,0,11,-1.921
42002,0,42002000059,0,11,0.989
42002,0,42002000060,0,12,1.983
42002,0,42002000061,0,11,-1.02
42002,0,42002000062,1,11,-0.162
42002,0,42002000063,0,11,-0.882
42002,0,42002000064,1,12,-0.013
42002,0,42002000065,0,12,1.106
42002,0,42002000066,1,10,-1.863
42002,0,42002000067,1,11,2.358
